cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225BRN0,781393,X,SP,20020201,883065.45,82378.77189244,,193905.67722577686,6,6.5,273,78,,0.03306173889901198,0.239753562820337,0.08687701336478804,0.08679759371530493,0.01037396485853459,0.00023348849938942262,0.0009253256331425153,0.0009207143844082166,2021-10-01
36241LQD1,783152,X,SP,20101101,1789605.25,,,568044.7354056253,7,7.5,266,85,,0.10149049341189853,0.07060107192515752,0.10761980547782346,0.10683864344507199,0.002176017985032641,0.0059036681425364,0.009450960216190185,0.008702389216187045,2021-10-01
36225BXV5,781592,X,SP,20030401,2496961.88,2496899.457513562,,,6,6.5,226,123,,0.07516466560945179,0.07371762575564822,0.11806976163255789,0.11760426320003137,0.015305380763343535,0,0.005026558645104262,0.0046591492490456465,2021-10-01
3622AAEB6,784730,X,SP,20190501,4867650.16,,,,7,7.5,274,77,,0.15697441511979104,0.11841399106197126,0.10785201814843115,0.10712155259589184,0.009926067647803793,0.002116897789287586,0.01330095354937677,0.012603500405920398,2021-10-01
3622A2BG6,783639,X,SP,20120801,21159177.18,,,,4,4.5,123,225,,0.32007863186219765,0.25299034388613095,0.25075717362921013,0.24989526292583086,0.041945549297847995,0.00042995743417373333,0.011336284459220858,0.010673757860737432,2021-10-01
3622A2CQ3,783679,X,SP,20121001,5219468.52,333494.0057156708,,349100.86805211846,5.5,6,201,145,,0.3198233019431368,0.09973766471010437,0.13014608207627198,0.13003155196936012,0.008811720840143145,6.231119052180212e-06,0.0019470846777075446,0.0018572037439175126,2021-10-01
36241KDL9,781907,X,SP,20050401,272978.69,,,272844.19307893893,8,8.5,276,74,,0.09994769139570803,0.15825472259651485,0.12269716605418524,0.1216989864782898,6.865877031037027e-05,0.11442615382537036,0.01994187118629076,0.018985339991811623,2021-10-01
36241KFD5,781964,X,SP,20050801,4362539.04,129925.92683313515,,3641338.2460009195,6,6.5,203,144,,0.017763995942307265,0.012517933033420858,0.11411662611938511,0.11401697320680182,0,0,0.002800958812881227,0.0027867026821657426,2021-10-01
36241KEN4,781941,X,SP,20050701,3997108.98,,,480.55887355410414,5,5.5,218,128,,0.12073979154128522,0.32330511042822474,0.1641567546956193,0.16251179305482832,0.009650442498648215,0.06275895101278073,0.017394504777597297,0.015724345063376832,2021-10-01
3622A2TV4,784164,X,SP,20160501,39603024.55,,,,4.5,5,115,235,,0.23475691405583377,0.22965518402143037,0.25800203928259113,0.25673445801745953,0.018007266808020894,0.030115089621337576,0.032776465701655044,0.03130094064479627,2021-10-01
36241KAE8,781805,X,SP,20041001,292562.89,9595.025564911362,,141802.09512300638,7,7.5,246,105,,0.06858047055537497,0.10684792582217029,0.0961617722261735,0.09588679857790394,0.0030371759097063133,0.00570633639963003,0.002933917843651379,0.002717394502161352,2021-10-01
36241LNQ5,783099,X,SP,20100901,15467053.62,618675.9580404195,,,4.5,5,148,202,,0.2940129331297562,0.3693261960729096,0.2647647370032604,0.26304293397848943,0.016244873976407392,0.012654708897175126,0.012143824016641602,0.010046783242741886,2021-10-01
3622A2WX6,784262,X,SP,20170301,12611271.78,12610903.62916913,,,6,6.5,159,191,,0.005302653430934723,0.08097875207882144,0.14749903249730978,0.14719107248509156,0,0,0.007874755746854478,0.007550130697311919,2021-10-01
3622A3B90,784564,X,SP,20180801,20313046.85,,,,4.5,5,137,211,,0.26340541258812766,0.2897572681382349,0.210194297100473,0.20841538502972135,0.05884450806605246,0.052895258187941496,0.02002054913867779,0.01783368985871092,2021-10-01
36241KZF8,782542,X,SP,20090101,2669619.11,195354.78818611437,,434948.9739996354,4.5,5,167,178,,0.1746858327876526,0.06278652820209574,0.2028342158061891,0.20233402115020827,0.0009548218787500673,0.007822496999648543,0.0038040326695237825,0.0034495330067321195,2021-10-01
36241KHB7,782026,X,SP,20060101,1341253.83,,,1340960.273514181,8,8.5,296,57,,0.10830316540464058,0.0954468171006072,0.12441337030401722,0.1241162641950796,0.06456668301655633,0.013635808793430071,0.005120532414935042,0.004866984127467555,2021-10-01
