cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225A2B5,780770,X,SP,19980401,1462317.27,159017.47689014112,2064.84,377898.29258769506,6,6.5,283,70,,0.3888330002368817,0.03548609528265856,0.12829659370155833,0.12821842985654053,0,0,0.0011712806902233197,0.0011710925605631362,2021-09-01
36225A2C3,780771,X,SP,19980401,450330.58,34861.26940535887,,124242.8060914531,6,6.5,334,23,,0.23379213906316998,0.06733539331491112,0.25371567582672994,0.2536234538076745,0,0,0.0031858217298369462,0.003171784279777712,2021-09-01
36225A2E9,780773,X,SP,19980401,421370.45,43055.830061441986,,220031.04241317755,7,7.5,299,57,,0.045226592091900164,0.02892661011928932,0.15877116157545823,0.15861393002002744,0,0.0059801175351063,0.002458505722443882,0.0024457078406358024,2021-09-01
36225A2H2,780776,X,SP,19980401,637011.34,120824.93867879636,,330250.2191112021,6.5,7,282,73,,0.028730516031634568,0.009024333276361207,0.1487371608716711,0.1485849288401535,0,0,0.029908549549187535,0.029880719037384318,2021-09-01
36225A2J8,780777,X,SP,19980401,335748.1,42519.17460739882,,188759.22483550213,7,7.5,285,67,,0.021202062990393733,0.03212851282824691,0.14429231508950557,0.14425005230999222,0,0,0.007327993233105512,0.007327697662978916,2021-09-01
36225A2U3,780787,X,SP,19980501,16056.27,,,3712.5389413794005,8.5,9,349,9,,0.15567376883605066,0.45366639284930665,0.2817852188223493,0.28178129428131826,0,0,0.0010295637906718724,0.0010293542775525744,2021-09-01
36225A2V1,780788,X,SP,19980501,410935.42,98783.02354019058,,276988.17529278295,6.5,7,283,72,,0.006076697037319279,0.007303550542031134,0.1321427849831326,0.13212253083053016,0,0,0.0012295554155772326,0.0012286979979825308,2021-09-01
36225A3A6,780793,X,SP,19980501,770208.14,102291.39910593799,,298967.2127987163,6.5,7,282,71,,0.016895301029036025,0.12242120278593749,0.12554341562772198,0.12541764408657818,0,0,0.0017250587649717541,0.0017201568598543826,2021-09-01
36225A3B4,780794,X,SP,19980501,156432.54,14553.630513899176,,38489.72787982768,8.5,9,283,72,,0.011861118803276671,0.0037787695146044298,0.100636781125788,0.100636781125788,0,0,0,0,2021-09-01
36225A3C2,780795,X,SP,19980501,56195.19,849.1183812418449,,46867.7605152801,8.5,9,287,65,,0.004113074101844694,0.022038818172416486,0.1359701365719369,0.13583987805690512,0,0,0.0006936988643222453,0.0006926576248756922,2021-09-01
36225A3D0,780796,X,SP,19980501,24762.65,2736.765166653822,,4228.031938624139,8,8.5,351,8,,0.1452264477217865,0.3006949267946446,0.29939424974486184,0.2993667305762806,0,0,0.0012747504692649514,0.0012744445010012262,2021-09-01
36225A3E8,780797,X,SP,19980501,638982.35,18237.5831415296,,978.8958746485748,7,7.5,283,68,,0.16197725797168383,0.11975835218176323,0.14084987597445398,0.14069306941032622,0.007622191285247659,0,0.012934361924206272,0.01292411280182415,2021-09-01
36225A3F5,780798,X,SP,19980501,364213.34,2119.7259765286435,,137696.05701906388,7.5,8,289,64,,0.19151963240563774,0.16768384899102295,0.1265768617714581,0.126425843537876,0,0,0.0025528482456722568,0.0025358649588850257,2021-09-01
36225A3G3,780799,X,SP,19980501,103866.05,19560.086978685842,,51649.525381077045,8,8.5,283,72,,0.011458883067884895,0.010996439023199467,0.1262715828075096,0.12619495221185906,0,0,0.0007321892052545298,0.0007321546142167179,2021-09-01
36225A3K4,780802,X,SP,19980501,726118.4,234998.55960266196,,386606.47664724034,6.5,7,281,70,,0.029083473022422868,0.30074897546100365,0.12627722072361347,0.1261358426735486,0,0,0.0025438166421758446,0.002543007736490077,2021-09-01
36225A3L2,780803,X,SP,19980501,676944.54,389128.2903238019,,246670.38665871866,7,7.5,282,72,,0.07717838299701951,0.006267397412379916,0.11889637625671612,0.11882398570847341,0,0,0.0024819752306435294,0.0024815732248302247,2021-09-01
36225A3T5,780810,X,SP,19980601,158095.97,,,158088.06559672015,7.5,8,310,46,,0.03834451341727019,0.09090148658929886,0.2441724017705018,0.24411916252007404,0,0,0.04885399703259796,0.04885245350546619,2021-09-01
36225A3U2,780811,X,SP,19980601,254483.41,,,,8,8.5,308,46,,0.09202361041441742,0.021729386180982524,0.17448930505035565,0.17434114711120574,0,0,0.00235978799144021,0.002353078339043635,2021-09-01
