cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225A4Z0,780840,M,SP,19980801,110544.54,35784.6855771329,,,8.5,9.144,294,60,,0.03425672902024124,0.043848406660206396,0.11434730983494112,0.11411524988485278,0,0,0.0006213989832861699,0.0006172720398170961,2021-10-01
36225A5B2,780842,M,SP,19980801,24308.37,,,,8.5,9.244,293,56,,0.002125547382948789,0.002201463432437434,0.12439488936718457,0.12433785932695374,0,0,0.0007012121655376458,0.0007009718394931364,2021-10-01
36225AGG9,780199,M,SP,19950701,2603.71,,,,9.5,10,317,40,,0.004253624823438273,0.004482993857557904,0.19755886831582314,0.19754772240542617,0,0,0.00031176643522035086,0.00031176979480240785,2021-10-01
36225AW97,780672,M,SP,19971101,261197.24,,,,7,7.807,288,64,,0.06546750375660737,0.29157709807097465,0.12251721142496041,0.12095458376851476,0,0.03601506912176866,0.007473159081780589,0.006140206601405684,2021-10-01
36225AXA3,780673,M,SP,19971101,522381.13,,,,7,7.807,288,64,,0.0654684183243347,0.29157620433335174,0.12251726517956207,0.12095460682194281,0,0.03601597934930034,0.007473330253299215,0.0061403436959481805,2021-10-01
36225AXT2,780690,M,SP,19971201,721500.44,,,,7,7.792,288,65,,0.038024533316162734,0.1424318760617349,0.11543947909050445,0.1144790008208435,0,0.006599604775508694,0.005338189853474562,0.004678763745290637,2021-10-01
36225AXV7,780692,M,SP,19971201,313318.42,87218.26717008166,,196672.268781467,7,7.776,290,63,,0.02843442662980067,0.0896868908274604,0.11084690522176477,0.11006450229338849,0.0012210588259646826,0,0.004262508043230917,0.0037878690282383554,2021-10-01
36225AZD5,780740,M,SP,19980301,23765,9209.481846673796,,,8,8.69,305,49,,0.03878451079844836,0.19819485184202656,0.14479807996547267,0.14437631166299436,0,0.007136379075166066,0.0031853824223788685,0.0031109635479193987,2021-10-01
36225AZM5,780748,M,SP,19980301,492228.44,,,49.22284340939675,7,7.775,287,64,,0.039066430430928833,0.10366395182952703,0.10121169951146236,0.10079357990056814,0,0,0.004689360052623881,0.004473101716735539,2021-10-01
36225AZN3,780749,M,SP,19980301,492208.54,445004.4915206962,,96.7939903726674,7,7.775,287,64,,0.0393118909840009,0.10366027862847127,0.10123696741963117,0.1008187742775073,0,0,0.0046918292073739876,0.004475535299223843,2021-10-01
36225B4D7,781720,M,SP,20040301,534933.95,,,,7,7.76,300,52,,0.14659909164520857,0.08906575725093702,0.12594139959095263,0.12517802592991356,0.006757870506231334,0,0.005848250514465025,0.005439558544093281,2021-10-01
36225B4E5,781721,M,SP,20040301,190844.19,,,,7.5,8.265,301,53,,0.04385943608561815,0.1143235361671413,0.1324650925897738,0.13204800306817766,0,0,0.0011714441781929263,0.0011665558339656323,2021-10-01
36225B5J3,781749,M,SP,20040501,4011269.93,3601415.2936829417,,,6,6.601,223,124,,0.1316837520911054,0.12651476914259197,0.13029323946734417,0.12869576187576492,0.011106063026039892,0.013876252101797548,0.011959157211864246,0.010300816391082379,2021-10-01
36225B5Z7,781764,M,SP,20040701,58961939.71,649583.5535028963,,1803737.5298800967,5.5,5.893,210,136,,0.16818260670100893,0.20230167712796665,0.16320608911703027,0.1614847183770206,0.02651463145434574,0.014496800954984068,0.013775469832896792,0.011947476710140736,2021-10-01
36225BD21,781021,M,SP,19990401,126785.26,,,,8,8.69,304,51,,0.029409553892869256,0.020693774885801153,0.1392013773281463,0.13859552527486185,0,0.0004812204968122069,0.003637910955347934,0.0033651794554587777,2021-10-01
36225BDC9,780999,M,SP,19990301,587946.43,587931.7317067074,,,6.5,7.263,275,76,,0.062486383504533505,0.22083016445025527,0.12174223841778387,0.117812253856593,0.0044279511896153645,0.0590158603385742,0.023085373353408656,0.019143454553502748,2021-10-01
36225BDU9,781015,M,SP,19990401,59615.03,691.4191114814198,,,8,8.714,297,55,,0.08835030045584624,0.10956798306884263,0.1536690856514774,0.15073784778785893,0,0,0.021089247820858192,0.018169460488848488,2021-10-01
36225BDZ8,781020,M,SP,19990401,230348.89,,,217150.55851957403,7.5,8.245,299,54,,0.1268127178107359,0.204276299457941,0.14075300133435142,0.13883041593315648,0.021275346535893913,0,0.014543293855033834,0.012798424324737656,2021-10-01
36225BE38,781054,M,SP,19990601,185945.17,,,,7,7.771,314,42,,0.03711041432296136,0.030408647949130896,0.1429292600255312,0.1423929719239332,0,0,0.0006076659584149935,0.0006087098306778449,2021-10-01
36225BE46,781055,M,SP,19990601,528426.66,,,,7,7.748,278,72,,0.05478480489261417,0.049054553605258455,0.10393949344219733,0.10355361383379047,0,0,0.00229035716118986,0.0021262971327503655,2021-10-01
36225BES3,781045,M,SP,19990601,216510.23,,,,8,8.673,300,51,,0.3409151181555765,0.1030110969298712,0.1376876934250888,0.13726822437779695,0,0.00010753706369004412,0.0006753723352469487,0.0006469863567412082,2021-10-01
36225BEY0,781051,M,SP,19990601,115609.88,28858.39924209474,,,8.5,9.108,296,57,,0.032122147582602456,0.015558735257400591,0.12655760158977236,0.12644418046376538,0,0,0.0003946692047505085,0.00039355413154873453,2021-10-01
36225BF86,781091,M,SP,19990901,97834.93,,,,8,8.686,276,78,,0.09266383559693037,0.8584406278645285,0.10338903915621811,0.10305208747403438,0,0,0.0003487576909396717,0.0003485423203146709,2021-10-01
36225BHD3,781128,M,SP,20000101,314503.02,314450.0523923873,,,5.5,6.128,271,82,,0.01515747676276824,0.2877621916375964,0.07181973908836237,0.07162621647751155,0,0,0.0006835771334150476,0.0006823968035502004,2021-10-01
36225BJ90,781188,M,SP,20000601,181931.34,154077.07110985587,,16862.114744908853,6.5,7.275,269,79,,0.10454085438393546,0.14158347044339892,0.1113127366521438,0.1108656494936463,0.007078831732710067,0.04184535400245393,0.008933860904761781,0.008643314445850314,2021-10-01
36225BK64,781217,M,SP,20001201,19559.16,16062.444564208705,,317.0397514904556,8,8.733,282,70,,0.03234022320949215,0.20978089210906414,0.11415133053089965,0.11381652367076256,0,0,0.004156967072145745,0.004086997686447269,2021-10-01
36225BMD7,781256,M,SP,20010301,17332.04,,,,7.5,8.028,332,26,,0.17199018232741115,0.1072308228797535,0.20816763707121344,0.20799763762321688,0,0,0.0005677584339468522,0.0005673762143756367,2021-10-01
36225BNS3,781301,M,SP,20010601,4417452.43,2952311.8361209086,,62830.251463359615,6,6.826,245,105,,0.15983265329403407,0.07873835288735265,0.12369814742229612,0.12003507862117191,0,0,0.028496542885972254,0.0247725270061665,2021-10-01
