cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225A4Z0,780840,M,SP,19980801,112462.34,36405.50203717539,,,8.5,9.143,293,61,,0.028619573630988993,0.03425672902024124,0.1353265574211434,0.13515525036045284,0,0,0.005253661570530421,0.005245462927510047,2021-09-01
36225A5B2,780842,M,SP,19980801,24683.83,,,,8.5,9.244,293,57,,0.0020519943704343513,0.002125547382948789,0.13264019564820084,0.13258023434918753,0,0,0.0008727647773286717,0.0008720265842360186,2021-09-01
36225AGG9,780199,M,SP,19950701,2661.65,,,,9.5,10,316,41,,0.004046309467149234,0.004253624823438273,0.2320577602891093,0.231884261325497,0,0,0.001824331191075168,0.0018172171160768524,2021-09-01
36225AW97,780672,M,SP,19971101,272246.11,,,,7,7.809,287,65,,0.11333086497818712,0.06546750375660737,0.12443968000174732,0.12410956445120058,0,0,0.004843165998344223,0.004794550284729082,2021-09-01
36225AXA3,780673,M,SP,19971101,544478.26,,,,7,7.809,287,65,,0.11333113355560087,0.0654684183243347,0.12443949259353615,0.1241093788937554,0,0,0.00484312936681508,0.004794514382795434,2021-09-01
36225AXT2,780690,M,SP,19971201,740059.98,,,,7,7.792,287,66,,0.06732524006817164,0.038024533316162734,0.12300769428403657,0.1223410945578185,0,0,0.005969337650345574,0.005560290434066695,2021-09-01
36225AXV7,780692,M,SP,19971201,319961.78,89067.57544690445,,200842.3545476727,7,7.776,289,64,,0.02888989201750858,0.02843442662980067,0.1215943669728099,0.1208386481200292,0,0.0012210588259646826,0.005518586173676843,0.005044291819870761,2021-09-01
36225AZD5,780740,M,SP,19980301,24634.68,9546.502767036314,,,8,8.691,305,50,,0.305921283307486,0.03878451079844836,0.15081731153560363,0.15021244915980103,0,0,0.005774422597738749,0.0056868746812883675,2021-09-01
36225AZM5,780748,M,SP,19980301,503067.37,,,50.30673639639159,7,7.776,286,65,,0.21467914300986346,0.039066430430928833,0.11924159359330544,0.11898305848685597,0,0,0.0049994905753016905,0.004982614293989385,2021-09-01
36225AZN3,780749,M,SP,19980301,503046.87,454803.3981601127,,98.92537397213886,7,7.776,286,65,,0.2148365866503834,0.0393118909840009,0.11925042725146917,0.11899184691819975,0,0,0.00499971051975201,0.004982814841296479,2021-09-01
36225B4D7,781720,M,SP,20040301,548456.1,,,,7,7.76,300,53,,0.2362680945631641,0.14659909164520857,0.13964266165026962,0.13921111545502096,0,0.006757870506231334,0.00573956247018137,0.00566042682621215,2021-09-01
36225B4E5,781721,M,SP,20040301,195905.91,,,,7.5,8.266,300,54,,0.15995000428544504,0.04385943608561815,0.14139336384108758,0.14091711304718257,0,0,0.002980681296892551,0.002977864435201538,2021-09-01
36225B5J3,781749,M,SP,20040501,4079948.43,3663076.514334628,,,6,6.601,222,125,,0.1958810919355447,0.1316837520911054,0.13292226951404018,0.13124900466012135,0.04089011928432351,0.011106063026039892,0.013817961571563564,0.01203492582643495,2021-09-01
36225B5Z7,781764,M,SP,20040701,60395549.32,665377.6272626808,,1847593.8797470129,5.5,5.892,209,137,,0.17362689319968605,0.16818260670100893,0.16877398991863646,0.1666134852741541,0.016764486316031224,0.02651463145434574,0.014072499569068642,0.011754085064217823,2021-09-01
36225BD21,781021,M,SP,19990401,129186.98,,,,8,8.69,303,52,,0.30510592225482236,0.029409553892869256,0.14222713065973236,0.14152557890279827,0,0,0.005703520264494166,0.005582332084695607,2021-09-01
36225BDC9,780999,M,SP,19990301,606625.93,606610.7647308818,,,6.5,7.264,274,77,,0.0824475804111684,0.062486383504533505,0.12278569898550673,0.12047667607898871,0,0.0044279511896153645,0.017320804120018796,0.015003059503297722,2021-09-01
36225BDU9,781015,M,SP,19990401,61125.43,708.9368318613565,,,8,8.715,296,56,,0.09824175874993668,0.08835030045584624,0.1433309226583419,0.1428232349074947,0,0,0.004848316035293232,0.004799053790317531,2021-09-01
36225BDZ8,781020,M,SP,19990401,238815.47,,,225132.02774111295,7.5,8.245,298,54,,0.14248168232822644,0.1268127178107359,0.1509680921332286,0.14953566765391502,0,0.021275346535893913,0.01195852465014735,0.010776759789820956,2021-09-01
36225BE38,781054,M,SP,19990601,190385,,,,7,7.771,313,43,,0.03249407798255355,0.03711041432296136,0.15137971533888084,0.15094125106055367,0,0,0.0035553075931346045,0.003551228788476579,2021-09-01
36225BE46,781055,M,SP,19990601,536533.11,,,,7,7.748,277,73,,0.04885073893962599,0.05478480489261417,0.10961059311318566,0.109022531418286,0,0,0.0054400594067117725,0.00510068272580555,2021-09-01
36225BES3,781045,M,SP,19990601,222230.55,,,,8,8.673,299,52,,0.05785591702770765,0.3409151181555765,0.14925268450924067,0.14882692610499149,0,0,0.0018148916860732944,0.0018043119307842304,2021-09-01
36225BEY0,781051,M,SP,19990601,117533.07,29338.463617547808,,,8.5,9.108,295,58,,0.01581263667704702,0.032122147582602456,0.16174770163558305,0.16162080136822932,0,0,0.00162114134567648,0.0016201773604034297,2021-09-01
36225BF86,781091,M,SP,19990901,116461.43,,,,8,8.659,274,82,,0.041447970166202164,0.09266383559693037,0.11771349252641605,0.11734408495785298,0,0,0.0022120061832827664,0.002204364596501418,2021-09-01
36225BHD3,781128,M,SP,20000101,326797.97,326742.93171565025,,,5.5,6.125,270,82,,0.010374494352738961,0.01515747676276824,0.1024663711875764,0.10232127762901833,0,0,0.0017266964548843244,0.0017263062397152584,2021-09-01
36225BJ90,781188,M,SP,20000601,186160.28,157658.54689681655,,17254.069597378664,6.5,7.275,268,80,,0.14951013189316587,0.10454085438393546,0.11517328252777181,0.11435068003043702,0.07446513951445322,0.007078831732710067,0.007120839200996376,0.006444132062876529,2021-09-01
36225BK64,781217,M,SP,20001201,20198.17,16587.21468219818,,327.3976386185284,8,8.733,281,71,,0.05667751758707329,0.03234022320949215,0.1309520253666211,0.12992033178946572,0,0,0.009786667126622128,0.009002621156060653,2021-09-01
36225BMD7,781256,M,SP,20010301,18167.44,,,,7.5,8.028,331,26,,0.0641574234990614,0.17199018232741115,0.21067183161660263,0.21054972994447785,0,0,0.0012794799033221116,0.0012792025939751817,2021-09-01
36225BNS3,781301,M,SP,20010601,4479218.44,2993591.8556078337,,63708.76096667269,6,6.826,244,106,,0.12658235359370695,0.15983265329403407,0.1190805686697487,0.1170042037979333,0.0006271208772413717,0,0.01799795716233421,0.01583696058925821,2021-09-01
36225BR83,781411,M,SP,20020301,1572212.18,1572159.7746741774,,,5.5,6.3,237,111,,0.09909223864254135,0.0622012215141825,0.12798643023901957,0.12758595713697019,0,0,0.010047105977934567,0.009706720100139177,2021-09-01
36225BRG5,781387,M,SP,20020101,464010.94,463987.7438602666,,,6.5,7.259,238,109,,0.09675160276601058,0.3030938667828067,0.12663636891035435,0.12474380708785748,0,0.07123431816552084,0.015113760078240168,0.013055548146709728,2021-09-01
36225BRH3,781388,M,SP,20020101,1171791.53,587424.0050118432,,551604.0666588378,6.5,7.28,239,108,,0.12617896121231276,0.18210448788583566,0.1203255852765186,0.11921457494318655,0.009715576884311461,0,0.009679935485061852,0.008531653362999547,2021-09-01
36225BRU4,781399,M,SP,20020201,1525697.06,1525681.8031819684,,,7.5,8.292,253,98,,0.21837579621419634,0.03443588931496677,0.10565550348110009,0.1039265421555986,0.013103042485054894,0.014894616988461618,0.011941152567711222,0.01030206252484811,2021-09-01
36225BSN9,781425,M,SP,20020401,1025834.49,986230.8880566587,,2937.627672733463,5.5,6.281,237,110,,0.12419020462376962,0.04524561766910318,0.12814320980606309,0.1278149573477606,0,0,0.0073658345852418705,0.007125908523190616,2021-09-01
36225BSP4,781426,M,SP,20020401,1078063.57,,,,8,8.762,251,98,,0.04491278076905392,0.14708365425772085,0.09776036832487678,0.0970867276939007,0,0,0.006473155066032854,0.005955243384754838,2021-09-01
36225BSQ2,781427,M,SP,20020401,952921.64,356722.0521660854,,293114.3783413023,6.5,7.259,235,116,,0.10738712128146544,0.20734597236698515,0.11594334763913061,0.11507877325464888,0,0,0.00749671478009617,0.006626598649560389,2021-09-01
36225BSV1,781432,M,SP,20020401,6215313.09,669714.0637982414,,167697.39307503967,7,7.755,241,105,,0.14373736980231366,0.12957392146565438,0.11728871908749117,0.11661196868403734,0.05705124612995538,0.006011690240779632,0.007406935012408633,0.0068016659238735455,2021-09-01
36225BSX7,781434,M,SP,20020501,405104.23,1166.3750642011048,,403923.42909904534,8,8.754,255,92,,0.07516286098346048,0.18297004472310952,0.10991637830928125,0.10790510371523632,0,0,0.015716754126219867,0.013746036013615459,2021-09-01
36225BTN8,781457,M,SP,20020601,134951.52,4654.0685600895595,,27538.86721946485,7.5,8.23,301,52,,0.07699237463418362,0.14517243792186152,0.149462912107168,0.1475672711740551,0.007110710000493015,0.0056468485861574935,0.014736078289034338,0.013087410985948567,2021-09-01
36225BTP3,781458,M,SP,20020601,1778033.34,1778015.5598444017,,,7.5,8.273,250,99,,0.2026731835635055,0.05667990114536814,0.10526595437234809,0.10389723824055319,0.046099677607046585,0.002070228994335177,0.01248897019721984,0.011221717478142268,2021-09-01
36225BUT3,781494,M,SP,20020901,219648.62,47779.01741952461,,,6.5,7.296,246,100,,0.08729138521189883,0.015685999208184254,0.1119510584123633,0.11162911793027896,0.06870709243650197,0,0.006372315865776246,0.0062216203879263965,2021-09-01
36225BUU0,781495,M,SP,20020901,2168450.9,1088772.8672451193,,334399.18533371907,6.5,7.282,245,105,,0.1207515991314474,0.1873298903826368,0.11017851177043714,0.10913022208185119,0.002799565354744904,0.00294938279589807,0.009773022998717962,0.00872760258143812,2021-09-01
36225BV39,781534,M,SP,20021201,1597492.08,489132.335547854,,17919.270554369163,7,7.781,245,102,,0.11244399929249993,0.07660289281350308,0.10935612042620957,0.10811512965329473,0.05390732721988767,0.009816897928909052,0.011985871308493379,0.010734026179935796,2021-09-01
36225BVN5,781521,M,SP,20021101,1017617.3,,,,6,6.781,230,117,,0.13410824821077638,0.1282355473446587,0.13078390889881286,0.12910473054138394,0.0072259463612102115,0.022428817833350823,0.017355375825675146,0.015555261361942185,2021-09-01
36225BVY1,781531,M,SP,20021201,1460385.59,1460349.0812729683,,,6,6.822,254,92,,0.18106657142070282,0.14696555734468286,0.12402035971022507,0.12278979715591642,3.610065147308106e-05,0,0.01097916080979855,0.009735568468540956,2021-09-01
36225BWF1,781546,M,SP,20030101,1395481.25,,,,6.5,7.291,244,105,,0.19475184170195747,0.12212616611020577,0.10496620734535989,0.10437335567681483,0.0005909850485980028,0,0.007281433303907736,0.006753612200132153,2021-09-01
36225BXW3,781593,M,SP,20030401,685353.41,,,,6.5,7.282,247,103,,0.1497841011027723,0.14899019014540893,0.113427619938827,0.1122372498593237,0.013459510448711631,0.010220656388475913,0.009948013649755172,0.0087911289416297,2021-09-01
36225BYE2,781609,M,SP,20030501,361104.95,180195.44290655036,,46216.81191880812,6.5,7.274,239,110,,0.12581381646356982,0.1643711931728481,0.1314574407347211,0.12887862716507748,0.005274319599622768,0.0638754161498245,0.02130583306934042,0.018466526925144833,2021-09-01
36225BYL6,781615,M,SP,20030601,187137.84,187083.3379931532,,,8.5,9.211,251,99,,0.026450160669261757,0.43273333544417947,0.08770691000394859,0.08755795733401106,0,0,0.0009722286220072984,0.000970215505439187,2021-09-01
36225BZ76,781666,M,SP,20031101,738531.52,32795.080054892474,,,8,8.709,299,55,,0.16983285652634128,0.12134628086302568,0.1449936505889019,0.14459323846657735,0,0,0.003572163089053726,0.0035573997172206884,2021-09-01
36225BZF8,781642,M,SP,20030801,4685704.46,4339452.934380374,,585.698415039624,5.5,5.885,218,128,,0.20488027674555587,0.1483176947280156,0.16112498845701506,0.15993939305475147,0.016784832088014512,0.010654194448521004,0.008125094866352489,0.00692964567037091,2021-09-01
36225BZG6,781643,M,SP,20030801,5571730.58,5571591.290217744,,,5,5.405,218,128,,0.13822702023683997,0.22579983732165376,0.18309898418866943,0.18220661258377524,0,0.017145312225052667,0.009288927374088818,0.008526171919369996,2021-09-01
3622A22J0,784377,M,SP,20171001,148488765.23,,,,4.5,4.874,135,213,,0.290178002044143,0.2478495813699917,0.27143915144980946,0.2694928838527455,0.0190645062758793,0.016958381269937428,0.014672642306157502,0.012589530068240484,2021-09-01
3622A22T8,784386,M,SP,20171101,21046046.28,,,21045698.815805648,5,5.437,122,229,,0.1906165453330415,0.25188729577375757,0.25589819948744497,0.24995570622721197,0.02182872453557405,0.10030747625765968,0.06284917838500637,0.05581291052754844,2021-09-01
3622A22W1,784389,M,SP,20171101,120533148.42,,,,4.5,4.895,89,263,,0.3286072530747861,0.3406860680612065,0.30663151905275854,0.3024224317922545,0.0801772921780477,0.09932714187237346,0.057261513228777816,0.05225711466105898,2021-09-01
3622A23Q3,784407,M,SP,20171201,26497768.8,,,,3.5,3.894,47,308,,0.47899577288846784,0.44075934783106185,0.43047440648425217,0.4273526470262644,0.14718785602218698,0.09472782663768498,0.055399606569122906,0.05222402022206041,2021-09-01
3622A23S9,784409,M,SP,20171201,36642143.46,,,,5.5,5.978,175,175,,0.15595203511742195,0.2823399607758569,0.22383243685424714,0.21727513668821397,0.02200520726392241,0.07349969759478137,0.05490505502695597,0.04729288538510945,2021-09-01
3622A24C3,784419,M,SP,20171201,28178576.07,,,28178224.739922542,5.5,5.954,169,181,,0.19261233506322062,0.3804126243856035,0.23940377274556823,0.2290820675473294,0.058495687215942116,0.10946942663081694,0.07544444588721522,0.06314085280657189,2021-09-01
3622A24G4,784423,M,SP,20180101,270701283.44,,,,4.5,4.805,127,221,,0.2947119217242138,0.2590195964008958,0.28004254349201885,0.2780666498201998,0.013035267211169321,0.014060946896642279,0.014739862558197703,0.012662233037748383,2021-09-01
3622A24Q2,784431,M,SP,20180201,317263457.68,,,,4,4.327,108,241,,0.29794416945115765,0.2842831568713923,0.28103708564460095,0.27893856977142506,0.025246789919050272,0.040361349373610134,0.021157166201364763,0.019054997874066615,2021-09-01
3622A25L2,784451,M,SP,20180301,254846510.94,,,,3.5,3.871,77,276,,0.38156137173501514,0.3467844159790663,0.35855086622679166,0.3557950822500694,0.07981981582685771,0.06175165370887026,0.04266416755774871,0.04009535468776049,2021-09-01
3622A26E7,784469,M,SP,20180401,230745910.53,,,,4,4.372,55,300,,0.47093322178869934,0.43040522436305517,0.4046878690674339,0.4013345252568251,0.1382071333611129,0.12151559363647224,0.058856444998185875,0.055375448723168685,2021-09-01
3622A26Y3,784487,M,SP,20180501,285823967.12,,,,3,3.483,72,281,,0.37244855267463184,0.3532406668091238,0.3567339539910537,0.3545548593811595,0.055568709574371544,0.055612845402791655,0.026122620405076624,0.024639458122384328,2021-09-01
3622A27L0,784499,M,SP,20180601,5626787.42,,,203567.4644790387,6.5,7.223,234,115,,0.14788796433521723,0.16129174193489215,0.12336830043490021,0.12192205497032194,0.00859520647124934,0.010779389072352097,0.01222296724759897,0.010739546899390384,2021-09-01
3622A2A36,783626,M,SP,20120801,8422350.77,6325753.29180493,,,5,5.296,126,222,,0.2846377467641005,0.1502789550869943,0.25543937630706604,0.2529824630387141,0.028657132839254196,0.026358475127994385,0.02081491589602069,0.018184742490592654,2021-09-01
3622A2A51,783628,M,SP,20120801,27709017.12,,27673389.71,,3.5,3.802,110,237,,0.3086814908681803,0.2716025770889138,0.27107752644563554,0.2693385441015611,0.024154298463682666,0.01928255325115802,0.01451354987668707,0.0129568215716509,2021-09-01
3622A2A77,783630,M,SP,20120801,13601839.13,,5286.37,,3.5,3.817,111,236,,0.28242387224087506,0.25307224448050036,0.2678927896969804,0.26614763157999444,0.028253566752253767,0.01636919271180437,0.012423425382484865,0.010925160693899705,2021-09-01
3622A2AB8,783602,M,SP,20120601,3449583.2,3448697.758640652,,,7,7.662,227,121,,0.13469178844229857,0.11852696994538037,0.13900915113484658,0.13716617597773062,0.0067582347273570376,0.010675438078277089,0.014708431678338463,0.012787094082305273,2021-09-01
3622A2AD4,783604,M,SP,20120701,13568446.61,,9134712.33,,3.5,3.817,111,236,,0.28242387224087506,0.25307224448050036,0.2678927896969804,0.26614763157999444,0.028253566752253767,0.01636919271180437,0.012423425382484865,0.010925160693899705,2021-09-01
3622A2AG7,783607,M,SP,20120701,13568446.61,,,,3.5,3.817,111,236,,0.28242387224087506,0.25307224448050036,0.2678927896969804,0.26614763157999444,0.028253566752253767,0.01636919271180437,0.012423425382484865,0.010925160693899705,2021-09-01
3622A2AT9,783618,M,SP,20120701,27447208.68,,,,4,4.295,116,232,,0.28840367007813805,0.2920741682779141,0.27309828619836296,0.2709596189166823,0.017143778630725692,0.030988458606380775,0.019202773164931797,0.016917190925433423,2021-09-01
3622A2AU6,783619,M,SP,20120701,29059966.93,,,,4,4.33,118,230,,0.2803956991662433,0.25666274809227896,0.27100298826471225,0.26908560685567806,0.021546753912168648,0.023945184406151676,0.01623052916914902,0.014314145598183892,2021-09-01
3622A2BE1,783637,M,SP,20120801,16917289.33,,,,3,3.621,113,236,,0.3591133221686249,0.22733037626065433,0.2630197932980529,0.2599560382864793,0.042677240732264976,0.05100304045286719,0.023244246521026968,0.019801138361597248,2021-09-01
